rank,char,pinyin,pinyin_no_accents,meaning,alternative,alternative2,trad1,trad2
1,的,de,de,"<grammatical particle marking genitive as well as simple and composed adjectives>; 我的 wǒde my; 高的 gāode high, tall; 是的 shìde that's it, that's right; 是...的 shì...de one who...; 他是说汉语的. Tā shì shuō Hànyǔde. He is one who speaks Chinese.",,,,
1,的,dì,di,"目的 mùdì goal",,,,
1,的,dí,di,"true, real; 的确 díquè certainly",,,,
2,一,yī,yi,"one, a little; 第一 dì-yī first, primary; 看一看 kànyīkàn have a (quick) look at",壹,,,
2,一,yí,yi,"(used before tone #4); 一个人 yí gè rén one person; 一定 yídìng certain; 一样 yíyàng same; 一月yíyuè January",,,,
2,一,yì,yi,"(used before tones #2 and #3); 一点儿 yìdiǎnr a little; 一些 yìxiē some",,,,
3,是,shì,shi,"to be, 是不是? shìbushì? is (it) or is (it) not?; 是否 shìfǒu whether or not, is (it) or is (it) not?",,,,
4,不,bù,bu,not,,,,
4,不,bú,bu,"(used before tone #4); 不是 bú shì isn't",,,,
5,了,le,le,"<verb particle marking a new situation or a completed action>; 你来了! Nǐ láile! You have come! 我累了! Wǒ lèile! I've gotten tired! 那好了! Nà hǎole! That's OK (now)! 我只请了一位客人. Wǒ zhǐ qǐngle yí wèi kèren. I invited only one guest.",,,,
5,了,liǎo,liao,"end, finish, settle, dispose of, know clearly, to be able, (=了解 liǎojiě) understand, comprehend; 了了 liǎoliaǒ clearly understand, settle (a debt/etc.), to be intelligent; 了了 liǎole to be over/ended/finnish/settled; 你卖不了! Nǐ mài bùliǎo! You will not be able to sell (it)!",,,,
5,了,liào,liao,"(=瞭 liaò) to survey/watch",,,,
6,人,rén,ren,"person; 人类 rénlèi humankind; 有人吗? yǒu rén ma? Is there anybody here?",,,,
7,我,wǒ,wo,"I, me, my; 我们 wǒmen we, us",,,,
8,在,zài,zai,"at; 现在 xiànzài now; 存在 cúnzài exist",,,,
9,有,yǒu,you,"have, there is; 没有 méiyǒu haven't, there isn't; 有没有? Yǒuméiyǒu? Is there or isn't there? Have (you) or haven't (you)?; 有的 yǒude some",,,,
9,有,yòu,you,"(=又 yòu) again, both... and...",,,,
